INFO 2018-07-25 12:17:46,445 - >>> Deployer is started
INFO 2018-07-25 12:17:59,034 - >>> notepad++ opened a file \\10.13.130.231\dropbox\IT\Scripts\!pack\del_net_profile.cmd
INFO 2018-07-25 12:18:08,354 - >>> seleted file which are not cmd or powershell
INFO 2018-07-25 12:18:30,018 - >>> application is closed by user
INFO 2018-07-25 12:19:21,908 - >>> Deployer is started
INFO 2018-07-25 12:19:34,632 - >>> notepad++ opened a file \\10.13.130.231\dropbox\IT\Scripts\!pack\kvm_serial.cmd
INFO 2018-07-25 12:19:39,340 - >>> selected cmd file \\10.13.130.231\dropbox\IT\Scripts\!pack\kvm_serial.cmd
INFO 2018-07-25 12:19:39,355 - cmd file \\10.13.130.231\dropbox\IT\Scripts\!pack\kvm_serial.cmd is completed
INFO 2018-07-25 12:19:44,954 - >>> notepad++ opened a file \\10.13.130.231\dropbox\IT\Scripts\!pack\kvm_serial.cmd
INFO 2018-07-25 12:20:00,141 - >>> Deployer is closed
DEBUG 2018-07-25 12:22:27,444 - UI version is 4.0
DEBUG 2018-07-25 12:22:27,445 - uiname is Form
DEBUG 2018-07-25 12:22:27,445 - toplevel widget is MyApp
DEBUG 2018-07-25 12:22:27,445 - setting property geometry
DEBUG 2018-07-25 12:22:27,445 - setting property windowTitle
DEBUG 2018-07-25 12:22:27,445 - push MyApp Form
DEBUG 2018-07-25 12:22:27,445 - push QGridLayout gridLayout
DEBUG 2018-07-25 12:22:27,447 - setting property value
DEBUG 2018-07-25 12:22:27,448 - push QProgressBar progressBar
DEBUG 2018-07-25 12:22:27,448 - pop widget QProgressBar progressBar
DEBUG 2018-07-25 12:22:27,448 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,448 - push QHBoxLayout horizontalLayout_11
DEBUG 2018-07-25 12:22:27,448 - setting property text
DEBUG 2018-07-25 12:22:27,449 - push QPushButton btnRun
DEBUG 2018-07-25 12:22:27,449 - pop widget QPushButton btnRun
DEBUG 2018-07-25 12:22:27,449 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,449 - setting property text
DEBUG 2018-07-25 12:22:27,449 - push QPushButton btnEdit
DEBUG 2018-07-25 12:22:27,449 - pop widget QPushButton btnEdit
DEBUG 2018-07-25 12:22:27,449 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,449 - setting property text
DEBUG 2018-07-25 12:22:27,449 - push QPushButton btnBrowse
DEBUG 2018-07-25 12:22:27,449 - pop widget QPushButton btnBrowse
DEBUG 2018-07-25 12:22:27,449 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,450 - pop layout QHBoxLayout horizontalLayout_11
DEBUG 2018-07-25 12:22:27,450 - setting property orientation
DEBUG 2018-07-25 12:22:27,450 - push QFrame line_5
DEBUG 2018-07-25 12:22:27,450 - pop widget QFrame line_5
DEBUG 2018-07-25 12:22:27,450 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,450 - push QHBoxLayout horizontalLayout
DEBUG 2018-07-25 12:22:27,451 - setting property text
DEBUG 2018-07-25 12:22:27,451 - push QPushButton btnAll
DEBUG 2018-07-25 12:22:27,451 - pop widget QPushButton btnAll
DEBUG 2018-07-25 12:22:27,451 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,451 - setting property text
DEBUG 2018-07-25 12:22:27,451 - push QPushButton btnNone
DEBUG 2018-07-25 12:22:27,451 - pop widget QPushButton btnNone
DEBUG 2018-07-25 12:22:27,452 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,452 - setting property enabled
DEBUG 2018-07-25 12:22:27,452 - setting property text
DEBUG 2018-07-25 12:22:27,452 - push QPushButton btnInvert
DEBUG 2018-07-25 12:22:27,452 - pop widget QPushButton btnInvert
DEBUG 2018-07-25 12:22:27,452 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,452 - setting property enabled
DEBUG 2018-07-25 12:22:27,452 - setting property text
DEBUG 2018-07-25 12:22:27,452 - push QPushButton btnRefresh
DEBUG 2018-07-25 12:22:27,452 - pop widget QPushButton btnRefresh
DEBUG 2018-07-25 12:22:27,452 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,453 - setting property text
DEBUG 2018-07-25 12:22:27,453 - push QPushButton btnClose
DEBUG 2018-07-25 12:22:27,453 - pop widget QPushButton btnClose
DEBUG 2018-07-25 12:22:27,453 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,453 - pop layout QHBoxLayout horizontalLayout
DEBUG 2018-07-25 12:22:27,551 - push QTreeWidget treeWidget
DEBUG 2018-07-25 12:22:27,588 - pop widget QTreeWidget treeWidget
DEBUG 2018-07-25 12:22:27,588 - new topwidget <__main__.MyApp object at 0x00000000052F2438>
DEBUG 2018-07-25 12:22:27,589 - setting property title
DEBUG 2018-07-25 12:22:27,589 - push QGroupBox gbServers
DEBUG 2018-07-25 12:22:27,589 - push QGridLayout gridLayout_2
DEBUG 2018-07-25 12:22:27,589 - push QHBoxLayout horizontalLayout_9
DEBUG 2018-07-25 12:22:27,589 - setting property text
DEBUG 2018-07-25 12:22:27,589 - push QCheckBox Sync2
DEBUG 2018-07-25 12:22:27,589 - pop widget QCheckBox Sync2
DEBUG 2018-07-25 12:22:27,590 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,590 - setting property text
DEBUG 2018-07-25 12:22:27,590 - push QCheckBox Sync1
DEBUG 2018-07-25 12:22:27,590 - pop widget QCheckBox Sync1
DEBUG 2018-07-25 12:22:27,590 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,590 - setting property text
DEBUG 2018-07-25 12:22:27,590 - push QCheckBox Gateway
DEBUG 2018-07-25 12:22:27,590 - pop widget QCheckBox Gateway
DEBUG 2018-07-25 12:22:27,590 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,590 - setting property text
DEBUG 2018-07-25 12:22:27,590 - push QCheckBox Output
DEBUG 2018-07-25 12:22:27,591 - pop widget QCheckBox Output
DEBUG 2018-07-25 12:22:27,591 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,591 - setting property text
DEBUG 2018-07-25 12:22:27,591 - push QCheckBox Outputspare
DEBUG 2018-07-25 12:22:27,591 - pop widget QCheckBox Outputspare
DEBUG 2018-07-25 12:22:27,591 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,591 - setting property font
DEBUG 2018-07-25 12:22:27,591 - setting property text
DEBUG 2018-07-25 12:22:27,592 - push QCheckBox Nav
DEBUG 2018-07-25 12:22:27,592 - pop widget QCheckBox Nav
DEBUG 2018-07-25 12:22:27,592 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,592 - setting property font
DEBUG 2018-07-25 12:22:27,592 - setting property text
DEBUG 2018-07-25 12:22:27,592 - push QCheckBox Main
DEBUG 2018-07-25 12:22:27,592 - pop widget QCheckBox Main
DEBUG 2018-07-25 12:22:27,592 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,592 - pop layout QHBoxLayout horizontalLayout_9
DEBUG 2018-07-25 12:22:27,592 - push QHBoxLayout horizontalLayout_3
DEBUG 2018-07-25 12:22:27,593 - setting property text
DEBUG 2018-07-25 12:22:27,593 - push QCheckBox FGC07
DEBUG 2018-07-25 12:22:27,593 - pop widget QCheckBox FGC07
DEBUG 2018-07-25 12:22:27,593 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,593 - setting property text
DEBUG 2018-07-25 12:22:27,593 - push QCheckBox FGC08
DEBUG 2018-07-25 12:22:27,593 - pop widget QCheckBox FGC08
DEBUG 2018-07-25 12:22:27,594 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,594 - setting property text
DEBUG 2018-07-25 12:22:27,594 - push QCheckBox FGC09
DEBUG 2018-07-25 12:22:27,594 - pop widget QCheckBox FGC09
DEBUG 2018-07-25 12:22:27,594 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,594 - setting property text
DEBUG 2018-07-25 12:22:27,594 - push QCheckBox FGC10
DEBUG 2018-07-25 12:22:27,594 - pop widget QCheckBox FGC10
DEBUG 2018-07-25 12:22:27,594 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,594 - setting property text
DEBUG 2018-07-25 12:22:27,595 - push QCheckBox FGC11
DEBUG 2018-07-25 12:22:27,595 - pop widget QCheckBox FGC11
DEBUG 2018-07-25 12:22:27,595 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,595 - setting property text
DEBUG 2018-07-25 12:22:27,595 - push QCheckBox FGC12
DEBUG 2018-07-25 12:22:27,595 - pop widget QCheckBox FGC12
DEBUG 2018-07-25 12:22:27,595 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x0000000005305798>
DEBUG 2018-07-25 12:22:27,595 - pop layout QHBoxLayout horizontalLayout_3
DEBUG 2018-07-25 12:22:27,595 - push QHBoxLayout horizontalLayout_5
